编码-公司名,编码,公司名-简体,公司名-繁体,本位币,父节点编号,父节点中文名称,share,合并节点,最新更新日期
QJH0000 - 潜江华润燃气有限公司,QJH0000,潜江华润燃气有限公司,潛江華潤燃氣有限公司,CNY,QJRQ100,潜江华润燃气(香港)有限公司(PRC合并),,,7/3/2012
MYGS100 - 妙源有限公司(PRC合并),MYGS100,妙源有限公司(PRC合并),妙源有限公司(PRC合併),HKD,JJGS100,嘉骏有限公司(PRC合并),,TRUE,7/3/2012
MYGS000 - 妙源有限公司,MYGS000,妙源有限公司,妙源有限公司,HKD,MYGS100,妙源有限公司(PRC合并),,,7/3/2012
YCRQ100 - 宜城华润燃气(香港)有限公司(PRC合并),YCRQ100,宜城华润燃气(香港)有限公司(PRC合并),宜城華潤燃氣(香港)有限公司(PRC合併),HKD,MYGS100,妙源有限公司(PRC合并),,TRUE,7/3/2012
YCRQ000 - 宜城华润燃气(香港)有限公司,YCRQ000,宜城华润燃气(香港)有限公司,宜城華潤燃氣(香港)有限公司,HKD,YCRQ100,宜城华润燃气(香港)有限公司(PRC合并),,,7/3/2012
YCH0100 - 宜城华润燃气有限公司(合并节点),YCH0100,宜城华润燃气有限公司(合并节点),宜城華潤燃氣有限公司(合併節點),CNY,YCRQ100,宜城华润燃气(香港)有限公司(PRC合并),,TRUE,7/3/2012
YCH0000 - 宜城华润燃气有限公司,YCH0000,宜城华润燃气有限公司,宜城華潤燃氣有限公司,CNY,YCH0100,宜城华润燃气有限公司(合并节点),,,7/3/2012
NZH0000 - 南漳华润燃气有限公司,NZH0000,南漳华润燃气有限公司,南漳華潤燃氣有限公司,CNY,YCH0100,宜城华润燃气有限公司(合并节点),,,7/3/2012
XFD0000 - 襄樊大明燃气设计咨询有限公司,XFD0000,襄樊大明燃气设计咨询有限公司,襄樊大明燃氣設計諮詢有限公司,CNY,YCH0100,宜城华润燃气有限公司(合并节点),TRUE,,7/3/2012
ZHW0100 - 卓万有限公司(PRC合并),ZHW0100,卓万有限公司(PRC合并),卓萬有限公司(PRC合併),HKD,JJGS100,嘉骏有限公司(PRC合并),,TRUE,7/3/2012
ZHW0000 - 卓万有限公司,ZHW0000,卓万有限公司,卓萬有限公司,HKD,ZHW0100,卓万有限公司(PRC合并),,,7/3/2012
YQRQ100 - 阳泉华润燃气(香港)有限公司(PRC合并),YQRQ100,阳泉华润燃气(香港)有限公司(PRC合并),陽泉華潤燃氣(香港)有限公司(PRC合併),HKD,ZHW0100,卓万有限公司(PRC合并),,TRUE,7/3/2012
YQRQ000 - 阳泉华润燃气(香港)有限公司,YQRQ000,阳泉华润燃气(香港)有限公司,陽泉華潤燃氣(香港)有限公司,HKD,YQRQ100,阳泉华润燃气(香港)有限公司(PRC合并),,,7/3/2012
YQH0000 - 阳泉华润燃气有限公司,YQH0000,阳泉华润燃气有限公司,陽泉華潤燃氣有限公司,CNY,YQRQ100,阳泉华润燃气(香港)有限公司(PRC合并),,,7/3/2012
ZWGS100 - 珍望有限公司(PRC合并),ZWGS100,珍望有限公司(PRC合并),珍望有限公司(PRC合併),HKD,JJGS100,嘉骏有限公司(PRC合并),,TRUE,7/3/2012
ZWGS000 - 珍望有限公司,ZWGS000,珍望有限公司,珍望有限公司,HKD,ZWGS100,珍望有限公司(PRC合并),,,7/3/2012
DTRQ100 - 大同华润燃气(香港)有限公司(PRC合并),DTRQ100,大同华润燃气(香港)有限公司(PRC合并),大同華潤燃氣(香港)有限公司(PRC合併),HKD,ZWGS100,珍望有限公司(PRC合并),,TRUE,7/3/2012
DTRQ000 - 大同华润燃气(香港)有限公司,DTRQ000,大同华润燃气(香港)有限公司,大同華潤燃氣(香港)有限公司,HKD,DTRQ100,大同华润燃气(香港)有限公司(PRC合并),,,7/3/2012
DTH0000 - 大同华润燃气有限公司,DTH0000,大同华润燃气有限公司,大同華潤燃氣有限公司,CNY,DTRQ100,大同华润燃气(香港)有限公司(PRC合并),,,7/3/2012
ZYGS100 - 振宇有限公司(PRC合并),ZYGS100,振宇有限公司(PRC合并),振宇有限公司(PRC合併),HKD,JJGS100,嘉骏有限公司(PRC合并),,TRUE,7/3/2012
ZYGS000 - 振宇有限公司,ZYGS000,振宇有限公司,振宇有限公司,HKD,ZYGS100,振宇有限公司(PRC合并),,,7/3/2012
ZBRQ100 - 淄博华润燃气(香港)有限公司(PRC合并),ZBRQ100,淄博华润燃气(香港)有限公司(PRC合并),淄博華潤燃氣(香港)有限公司(PRC合併),HKD,ZYGS100,振宇有限公司(PRC合并),,TRUE,7/3/2012
ZBRQ000 - 淄博华润燃气(香港)有限公司,ZBRQ000,淄博华润燃气(香港)有限公司,淄博華潤燃氣(香港)有限公司,HKD,ZBRQ100,淄博华润燃气(香港)有限公司(PRC合并),,,7/3/2012
ZBH0100 - 淄博华润燃气有限公司(合并节点),ZBH0100,淄博华润燃气有限公司(合并节点),淄博華潤燃氣有限公司(合併節點),CNY,ZBRQ100,淄博华润燃气(香港)有限公司(PRC合并),,TRUE,7/3/2012
ZBH0000 - 淄博华润燃气有限公司,ZBH0000,淄博华润燃气有限公司,淄博華潤燃氣有限公司,CNY,ZBH0100,淄博华润燃气有限公司(合并节点),,,7/3/2012
ZBG0000 - 淄博广烁燃气具销售有限公司,ZBG0000,淄博广烁燃气具销售有限公司,淄博廣爍燃氣具銷售有限公司,CNY,ZBH0100,淄博华润燃气有限公司(合并节点),,,7/3/2012
ZBX0000 - 淄博信创燃气工程设计有限公司,ZBX0000,淄博信创燃气工程设计有限公司,淄博信創燃氣工程設計有限公司,CNY,ZBH0100,淄博华润燃气有限公司(合并节点),,,7/3/2012
TVI0100 - 千凯投资有限公司(PRC合并),TVI0100,千凯投资有限公司(PRC合并),千凱投資有限公司(PRC合併),HKD,CRL0100,华润燃气控股有限公司(PRC合并),,TRUE,7/3/2012
TVI0000 - 千凯投资有限公司,TVI0000,千凯投资有限公司,千凱投資有限公司,HKD,TVI0100,千凯投资有限公司(PRC合并),,,7/3/2012
FLE0100 - 富茂石油工程有限公司(PRC合并),FLE0100,富茂石油工程有限公司(PRC合并),富茂石油工程有限公司(PRC合併),HKD,TVI0100,千凯投资有限公司(PRC合并),,TRUE,7/3/2012
FLE0000 - 富茂石油工程有限公司,FLE0000,富茂石油工程有限公司,富茂石油工程有限公司,HKD,FLE0100,富茂石油工程有限公司(PRC合并),,,7/3/2012
WFZY100 - 潍坊中原富茂燃气有限公司(PRC合并),WFZY100,潍坊中原富茂燃气有限公司(PRC合并),濰坊中原富茂燃氣有限公司(PRC合併),CNY,FLE0100,富茂石油工程有限公司(PRC合并),,TRUE,7/3/2012
WFZY000 - 潍坊中原富茂燃气有限公司,WFZY000,潍坊中原富茂燃气有限公司,濰坊中原富茂燃氣有限公司,CNY,WFZY100,潍坊中原富茂燃气有限公司(PRC合并),,,7/3/2012
QZSF000 - 青州市富茂燃气有限公司,QZSF000,青州市富茂燃气有限公司,青州市富茂燃氣有限公司,CNY,WFZY100,潍坊中原富茂燃气有限公司(PRC合并),,,7/3/2012
AQFM100 - 安丘富茂燃气有限公司(PRC合并),AQFM100,安丘富茂燃气有限公司(PRC合并),安丘富茂燃氣有限公司(PRC合併),CNY,FLE0100,富茂石油工程有限公司(PRC合并),,TRUE,7/3/2012
AQFM000 - 安丘富茂燃气有限公司,AQFM000,安丘富茂燃气有限公司,安丘富茂燃氣有限公司,CNY,AQFM100,安丘富茂燃气有限公司(PRC合并),,,7/3/2012
QZSH000 - 青州市宏富燃气有限公司,QZSH000,青州市宏富燃气有限公司,青州市宏富燃氣有限公司,CNY,AQFM100,安丘富茂燃气有限公司(PRC合并),,,7/3/2012
LYFM000 - 临沂富茂管道燃气有限公司,LYFM000,临沂富茂管道燃气有限公司,臨沂富茂管道燃氣有限公司,CNY,FLE0100,富茂石油工程有限公司(PRC合并),TRUE,,7/3/2012
LYFM100 - 临沂富茂管道燃气有限公司(PRC合并),LYFM100,临沂富茂管道燃气有限公司(PRC合并),臨沂富茂管道燃氣有限公司(PRC合併),CNY,FLE0100,富茂石油工程有限公司(PRC合并),,TRUE,7/3/2012
LYFM000 - 临沂富茂管道燃气有限公司,LYFM000,临沂富茂管道燃气有限公司,臨沂富茂管道燃氣有限公司,CNY,LYFM100,临沂富茂管道燃气有限公司(PRC合并),,,7/3/2012
FMLZ000 - 临沂富茂管道燃气有限公司罗庄分公司,FMLZ000,临沂富茂管道燃气有限公司罗庄分公司,"LINYI FLEMMING PIPELINE GAS CO.,LTD,LUOZHUANG BRANCH",CNY,LYFM100,临沂富茂管道燃气有限公司(PRC合并),,,7/3/2012
WFFM000 - 潍坊富茂管道天然气有限公司,WFFM000,潍坊富茂管道天然气有限公司,濰坊富茂管道天然氣有限公司,CNY,FLE0100,富茂石油工程有限公司(PRC合并),,,7/3/2012
CXFM000 - 慈溪富茂管道燃气有限公司,CXFM000,慈溪富茂管道燃气有限公司,慈溪富茂管道燃氣有限公司,CNY,FLE0100,富茂石油工程有限公司(PRC合并),,,7/3/2012
WFGS100 - 万发有限公司(PRC合并),WFGS100,万发有限公司(PRC合并),萬發有限公司(PRC合併),HKD,CRL0100,华润燃气控股有限公司(PRC合并),,TRUE,7/3/2012
WFGS000 - 万发有限公司,WFGS000,万发有限公司,萬發有限公司,HKD,WFGS100,万发有限公司(PRC合并),,,7/3/2012
SRI0100 - 耀正投资有限公司(HK合并),SRI0100,耀正投资有限公司(HK合并),耀正投資有限公司(HK合併),HKD,WFGS100,万发有限公司(PRC合并),,TRUE,7/3/2012
SRI0000 - 耀正投资有限公司,SRI0000,耀正投资有限公司,耀正投資有限公司,HKD,SRI0100,耀正投资有限公司(HK合并),,,7/3/2012
LFA0100 - 兴际有限公司(PRC合并),LFA0100,兴际有限公司(PRC合并),興際有限公司(PRC合併),HKD,SRI0100,耀正投资有限公司(HK合并),,TRUE,7/3/2012
LFA0000 - 兴际有限公司,LFA0000,兴际有限公司,興際有限公司,HKD,LFA0100,兴际有限公司(PRC合并),,,7/3/2012
XGA0100 - 厦门华润燃气有限公司(PRC合并),XGA0100,厦门华润燃气有限公司(PRC合并),廈門華潤燃氣有限公司(PRC合併),CNY,LFA0100,兴际有限公司(PRC合并),,TRUE,7/3/2012
XGA0000 - 厦门华润燃气有限公司,XGA0000,厦门华润燃气有限公司,廈門華潤燃氣有限公司,CNY,XGA0100,厦门华润燃气有限公司(PRC合并),,,7/3/2012
XMHA000 - 厦门华润燃气工程有限公司,XMHA000,厦门华润燃气工程有限公司,廈門華潤燃氣工程有限公司,CNY,XGA0100,厦门华润燃气有限公司(PRC合并),,,7/3/2012
XMHB000 - 厦门华润燃气工程设计有限公司,XMHB000,厦门华润燃气工程设计有限公司,廈門華潤燃氣工程設計有限公司,CNY,XGA0100,厦门华润燃气有限公司(PRC合并),,,7/3/2012
XMJ0000 - 厦门嘉安燃气有限公司,XMJ0000,厦门嘉安燃气有限公司,廈門嘉安燃氣有限公司,CNY,XGA0100,厦门华润燃气有限公司(PRC合并),,,7/3/2012
WRGS100 - 万荣有限公司(HK合并),WRGS100,万荣有限公司(HK合并),萬榮有限公司(HK合併),HKD,WFGS100,万发有限公司(PRC合并),,TRUE,7/3/2012
WRGS000 - 万荣有限公司,WRGS000,万荣有限公司,萬榮有限公司,HKD,WRGS100,万荣有限公司(HK合并),,,7/3/2012
NBRQ100 - 宁波杭州湾华润燃气(香港)有限公司(PRC合并),NBRQ100,宁波杭州湾华润燃气(香港)有限公司(PRC合并),寧波杭州灣華潤燃氣(香港)有限公司(PRC合併),HKD,WRGS100,万荣有限公司(HK合并),,TRUE,7/3/2012
NBRQ000 - 宁波杭州湾华润燃气(香港)有限公司,NBRQ000,宁波杭州湾华润燃气(香港)有限公司,寧波杭州灣華潤燃氣(香港)有限公司,HKD,NBRQ100,宁波杭州湾华润燃气(香港)有限公司(PRC合并),,,7/3/2012
NNRQ000 - 宁波杭州湾华润燃气有限公司,NNRQ000,宁波杭州湾华润燃气有限公司,寧波杭州灣華潤燃氣有限公司,CNY,NBRQ100,宁波杭州湾华润燃气(香港)有限公司(PRC合并),,,7/3/2012
HCGS100 - 慧创有限公司(HK合并),HCGS100,慧创有限公司(HK合并),慧創有限公司(HK合併),HKD,WFGS100,万发有限公司(PRC合并),,TRUE,7/3/2012
HCGS000 - 慧创有限公司,HCGS000,慧创有限公司,慧創有限公司,HKD,HCGS100,慧创有限公司(HK合并),,,7/3/2012
QDRQ100 - 启东华润燃气(香港)有限公司(PRC合并),QDRQ100,启东华润燃气(香港)有限公司(PRC合并),啟東華潤燃氣(香港)有限公司(PRC合併),HKD,HCGS100,慧创有限公司(HK合并),,TRUE,7/3/2012
QDRQ000 - 启东华润燃气(香港)有限公司,QDRQ000,启东华润燃气(香港)有限公司,啟東華潤燃氣(香港)有限公司,HKD,QDRQ100,启东华润燃气(香港)有限公司(PRC合并),,,7/3/2012
QDH0000 - 启东华润燃气有限公司,QDH0000,启东华润燃气有限公司,啟東華潤燃氣有限公司,CNY,QDRQ100,启东华润燃气(香港)有限公司(PRC合并),,,7/3/2012
EYGS100 - 恩裕有限公司(HK合并),EYGS100,恩裕有限公司(HK合并),恩裕有限公司(HK合併),HKD,WFGS100,万发有限公司(PRC合并),,TRUE,7/3/2012
EYGS000 - 恩裕有限公司,EYGS000,恩裕有限公司,恩裕有限公司,HKD,EYGS100,恩裕有限公司(HK合并),,,7/3/2012
UCRQ100 - 谷城华润燃气(香港)有限公司(PRC合并),UCRQ100,谷城华润燃气(香港)有限公司(PRC合并),穀城華潤燃氣(香港)有限公司(PRC合併),HKD,EYGS100,恩裕有限公司(HK合并),,TRUE,7/3/2012
UCRQ000 - 谷城华润燃气(香港)有限公司,UCRQ000,谷城华润燃气(香港)有限公司,穀城華潤燃氣(香港)有限公司,HKD,UCRQ100,谷城华润燃气(香港)有限公司(PRC合并),,,7/3/2012
GCG0000 - 谷城华润燃气有限公司,GCG0000,谷城华润燃气有限公司,穀城華潤燃氣有限公司,CNY,UCRQ100,谷城华润燃气(香港)有限公司(PRC合并),,,7/3/2012
JZGS100 - 佳质有限公司(HK合并),JZGS100,佳质有限公司(HK合并),佳質有限公司(HK合併),HKD,WFGS100,万发有限公司(PRC合并),,TRUE,7/3/2012
JZGS000 - 佳质有限公司,JZGS000,佳质有限公司,佳質有限公司,HKD,JZGS100,佳质有限公司(HK合并),,,7/3/2012
TZRH100 - 滕州华润燃气(香港)有限公司(PRC合并),TZRH100,滕州华润燃气(香港)有限公司(PRC合并),滕州華潤燃氣(香港)有限公司(PRC合併),HKD,JZGS100,佳质有限公司(HK合并),,TRUE,7/3/2012
TZRH000 - 滕州华润燃气(香港)有限公司,TZRH000,滕州华润燃气(香港)有限公司,滕州華潤燃氣(香港)有限公司,HKD,TZRH100,滕州华润燃气(香港)有限公司(PRC合并),,,7/3/2012
TZH0100 - 滕州华润燃气有限公司(PRC合并),TZH0100,滕州华润燃气有限公司(PRC合并),滕州華潤燃氣有限公司(PRC合併),CNY,TZRH100,滕州华润燃气(香港)有限公司(PRC合并),,TRUE,7/3/2012
TZH0000 - 滕州华润燃气有限公司,TZH0000,滕州华润燃气有限公司,滕州華潤燃氣有限公司,CNY,TZH0100,滕州华润燃气有限公司(PRC合并),,,7/3/2012
TZSA100 - 滕州市华翔燃气工程有限公司(PRC合并),TZSA100,滕州市华翔燃气工程有限公司(PRC合并),滕州市華翔燃氣工程有限公司(PRC合併),CNY,TZH0100,滕州华润燃气有限公司(PRC合并),,TRUE,7/3/2012
TZSA000 - 滕州市华翔燃气工程有限公司,TZSA000,滕州市华翔燃气工程有限公司,滕州市華翔燃氣工程有限公司,CNY,TZSA100,滕州市华翔燃气工程有限公司(PRC合并),,,7/3/2012
TZSB000 - 滕州市华翼燃气工程设计有限公司,TZSB000,滕州市华翼燃气工程设计有限公司,滕州市華翼燃氣工程設計有限公司,CNY,TZSA100,滕州市华翔燃气工程有限公司(PRC合并),TRUE,,7/3/2012
TZSB000 - 滕州市华翼燃气工程设计有限公司,TZSB000,滕州市华翼燃气工程设计有限公司,滕州市華翼燃氣工程設計有限公司,CNY,TZH0100,滕州华润燃气有限公司(PRC合并),,,7/3/2012
TZSZ000 - 滕州市正方新型建筑材料有限责任公司,TZSZ000,滕州市正方新型建筑材料有限责任公司,滕州市正方新型建築材料有限責任公司,CNY,TZH0100,滕州华润燃气有限公司(PRC合并),,,7/3/2012
ZMGS100 - 卓名有限公司(HK合并),ZMGS100,卓名有限公司(HK合并),卓名有限公司(HK合併),HKD,WFGS100,万发有限公司(PRC合并),,TRUE,7/3/2012
ZMGS000 - 卓名有限公司,ZMGS000,卓名有限公司,卓名有限公司,HKD,ZMGS100,卓名有限公司(HK合并),,,7/3/2012
SFRQ100 - 什邡华润燃气(香港)有限公司(PRC合并),SFRQ100,什邡华润燃气(香港)有限公司(PRC合并),什邡華潤燃氣(香港)有限公司(PRC合併),HKD,ZMGS100,卓名有限公司(HK合并),,TRUE,7/3/2012
SFRQ000 - 什邡华润燃气(香港)有限公司,SFRQ000,什邡华润燃气(香港)有限公司,什邡華潤燃氣(香港)有限公司,HKD,SFRQ100,什邡华润燃气(香港)有限公司(PRC合并),,,7/3/2012
SFH0100 - 什邡华润燃气有限公司(PRC合并),SFH0100,什邡华润燃气有限公司(PRC合并),什邡華潤燃氣有限公司(PRC合併),CNY,SFRQ100,什邡华润燃气(香港)有限公司(PRC合并),,TRUE,7/3/2012
SFH0000 - 什邡华润燃气有限公司,SFH0000,什邡华润燃气有限公司,什邡華潤燃氣有限公司,CNY,SFH0100,什邡华润燃气有限公司(PRC合并),,,7/3/2012
SFSB000 - 什邡市搏鼎压缩天然气有限公司,SFSB000,什邡市搏鼎压缩天然气有限公司,什邡市搏鼎壓縮天然氣有限公司,CNY,SFH0100,什邡华润燃气有限公司(PRC合并),,,7/3/2012
SFST000 - 什邡市天然管道安装有限公司,SFST000,什邡市天然管道安装有限公司,什邡市天然管道安裝有限公司,CNY,SFH0100,什邡华润燃气有限公司(PRC合并),,,7/3/2012
SFSY000 - 什邡市压缩天然气有限责任公司,SFSY000,什邡市压缩天然气有限责任公司,什邡市壓縮天然氣有限責任公司,CNY,SFH0100,什邡华润燃气有限公司(PRC合并),,,7/3/2012
MLGS100 - 明励有限公司(HK合并),MLGS100,明励有限公司(HK合并),明勵有限公司(HK合併),HKD,WFGS100,万发有限公司(PRC合并),,TRUE,7/3/2012
MLGS000 - 明励有限公司,MLGS000,明励有限公司,明勵有限公司,HKD,MLGS100,明励有限公司(HK合并),,,7/3/2012
SNRQ100 - 遂宁华润燃气(香港)有限公司(PRC合并),SNRQ100,遂宁华润燃气(香港)有限公司(PRC合并),遂甯華潤燃氣(香港)有限公司(PRC合併),HKD,MLGS100,明励有限公司(HK合并),,TRUE,7/3/2012
SNRQ000 - 遂宁华润燃气(香港)有限公司,SNRQ000,遂宁华润燃气(香港)有限公司,遂甯華潤燃氣(香港)有限公司,HKD,SNRQ100,遂宁华润燃气(香港)有限公司(PRC合并),,,7/3/2012
SCH0100 - 四川华润万通燃气股份有限公司(PRC合并),SCH0100,四川华润万通燃气股份有限公司(PRC合并),四川華潤萬通燃氣股份有限公司(PRC合併),CNY,SNRQ100,遂宁华润燃气(香港)有限公司(PRC合并),,TRUE,7/3/2012
SCH0000 - 四川华润万通燃气股份有限公司,SCH0000,四川华润万通燃气股份有限公司,四川華潤萬通燃氣股份有限公司,CNY,SCH0100,四川华润万通燃气股份有限公司(PRC合并),,,7/3/2012
PXX0000 - 蓬溪县祥兴压缩天然气洁能有限责任公司,PXX0000,蓬溪县祥兴压缩天然气洁能有限责任公司,蓬溪縣祥興壓縮天然氣潔能有限責任公司,CNY,SCH0100,四川华润万通燃气股份有限公司(PRC合并),,,7/3/2012
SCHA000 - 四川华润万通燃气股份有限公司燃气工程安装分公司,SCHA000,四川华润万通燃气股份有限公司燃气工程安装分公司,四川華潤萬通燃氣股份有限公司燃氣工程安裝分公司,CNY,SCH0100,四川华润万通燃气股份有限公司(PRC合并),,,7/3/2012
SCHB000 - 四川华润万通燃气股份有限公司化工分公司,SCHB000,四川华润万通燃气股份有限公司化工分公司,四川華潤萬通燃氣股份有限公司化工分公司,CNY,SCH0100,四川华润万通燃气股份有限公司(PRC合并),,,7/3/2012
SNA0000 - 遂宁安源压缩天然气有限公司,SNA0000,遂宁安源压缩天然气有限公司,遂甯安源壓縮天然氣有限公司,CNY,SCH0100,四川华润万通燃气股份有限公司(PRC合并),,,7/3/2012
SNSA000 - 遂宁市安居区万通燃气有限公司,SNSA000,遂宁市安居区万通燃气有限公司,遂甯市安居區萬通燃氣有限公司,CNY,SCH0100,四川华润万通燃气股份有限公司(PRC合并),,,7/3/2012
SNSB000 - 遂宁市万通燃气工程设计有限公司,SNSB000,遂宁市万通燃气工程设计有限公司,遂甯市萬通燃氣工程設計有限公司,CNY,SCH0100,四川华润万通燃气股份有限公司(PRC合并),,,7/3/2012
SNX0000 - 遂宁兴源油气开发有限公司,SNX0000,遂宁兴源油气开发有限公司,遂甯興源油氣開發有限公司,CNY,SCH0100,四川华润万通燃气股份有限公司(PRC合并),,,7/3/2012
CMGS100 - 畅明有限公司(HK合并),CMGS100,畅明有限公司(HK合并),暢明有限公司(HK合併),HKD,WFGS100,万发有限公司(PRC合并),,TRUE,7/3/2012
CMGS000 - 畅明有限公司,CMGS000,畅明有限公司,暢明有限公司,HKD,CMGS100,畅明有限公司(HK合并),,,7/3/2012
KSRQ100 - 昆山华润燃气(香港)有限公司(PRC合并),KSRQ100,昆山华润燃气(香港)有限公司(PRC合并),昆山華潤燃氣(香港)有限公司(PRC合併),HKD,CMGS100,畅明有限公司(HK合并),,TRUE,7/3/2012
KSRQ000 - 昆山华润燃气(香港)有限公司,KSRQ000,昆山华润燃气(香港)有限公司,昆山華潤燃氣(香港)有限公司,HKD,KSRQ100,昆山华润燃气(香港)有限公司(PRC合并),,,7/3/2012
KSH0000 - 昆山华润城市燃气有限公司,KSH0000,昆山华润城市燃气有限公司,昆山華潤城市燃氣有限公司,CNY,KSRQ100,昆山华润燃气(香港)有限公司(PRC合并),,,7/3/2012
HFGS100 - 宏发有限公司(PRC合并),HFGS100,宏发有限公司(PRC合并),宏發有限公司(PRC合併),HKD,WFGS100,万发有限公司(PRC合并),,TRUE,7/3/2012
HFGS000 - 宏发有限公司,HFGS000,宏发有限公司,宏發有限公司,HKD,HFGS100,宏发有限公司(PRC合并),,,7/3/2012
JIRQ100 - 济宁华润燃气(香港)有限公司(PRC合并),JIRQ100,济宁华润燃气(香港)有限公司(PRC合并),濟甯華潤燃氣(香港)有限公司(PRC合併),HKD,HFGS100,宏发有限公司(PRC合并),,TRUE,7/3/2012
JIRQ000 - 济宁华润燃气(香港)有限公司,JIRQ000,济宁华润燃气(香港)有限公司,濟甯華潤燃氣(香港)有限公司,HKD,JIRQ100,济宁华润燃气(香港)有限公司(PRC合并),,,7/3/2012
JNH0100 - 济宁华润燃气有限公司(PRC合并),JNH0100,济宁华润燃气有限公司(PRC合并),濟甯華潤燃氣有限公司(PRC合併),CNY,JIRQ100,济宁华润燃气(香港)有限公司(PRC合并),,TRUE,7/3/2012
JNH0000 - 济宁华润燃气有限公司,JNH0000,济宁华润燃气有限公司,濟甯華潤燃氣有限公司,CNY,JNH0100,济宁华润燃气有限公司(PRC合并),,,7/3/2012
JNHA000 - 济宁弘昌燃气有限公司,JNHA000,济宁弘昌燃气有限公司,濟寧弘昌燃氣有限公司,CNY,JNH0100,济宁华润燃气有限公司(PRC合并),,,7/3/2012
JNHB000 - 济宁弘昌房地产开发有限公司,JNHB000,济宁弘昌房地产开发有限公司,濟甯弘昌房地產開發有限公司,CNY,JNH0100,济宁华润燃气有限公司(PRC合并),,,7/3/2012
JNHC000 - 济宁弘昌建筑有限责任公司,JNHC000,济宁弘昌建筑有限责任公司,濟寧弘昌建築有限責任公司,CNY,JNH0100,济宁华润燃气有限公司(PRC合并),,,7/3/2012
JNHD000 - 济宁弘大公用工程有限公司,JNHD000,济宁弘大公用工程有限公司,濟寧弘大公用工程有限公司,CNY,JNH0100,济宁华润燃气有限公司(PRC合并),,,7/3/2012
JNL0000 - 济宁蓝威智能网络中心,JNL0000,济宁蓝威智能网络中心,濟甯藍威智慧型網路中心,CNY,JNH0100,济宁华润燃气有限公司(PRC合并),,,7/3/2012
JNQ0000 - 济宁曲阜新区富弘燃气有限公司,JNQ0000,济宁曲阜新区富弘燃气有限公司,濟甯曲阜新區富弘燃氣有限公司,CNY,JNH0100,济宁华润燃气有限公司(PRC合并),,,7/3/2012
JRQG000 - 济宁华润燃气规划有限公司,JRQG000,济宁华润燃气规划有限公司,濟甯華潤燃氣規劃有限公司,CNY,JNH0100,济宁华润燃气有限公司(PRC合并),,,7/3/2012
GJN0000 - 济宁华润运河燃气有限公司,GJN0000,济宁华润运河燃气有限公司,濟甯華潤運河燃氣有限公司,CNY,JNH0100,济宁华润燃气有限公司(PRC合并),,,7/3/2012
WGA0100 - 旺高有限公司(PRC合并),WGA0100,旺高有限公司(PRC合并),旺高有限公司(PRC合併),HKD,CRL0100,华润燃气控股有限公司(PRC合并),,TRUE,7/3/2012
WGA0000 - 旺高有限公司,WGA0000,旺高有限公司,旺高有限公司,HKD,WGA0100,旺高有限公司(PRC合并),,,7/3/2012
AKGS100 - 安凯有限公司(PRC合并),AKGS100,安凯有限公司(PRC合并),安凱有限公司(PRC合併),HKD,WGA0100,旺高有限公司(PRC合并),,TRUE,7/3/2012
AKGS000 - 安凯有限公司,AKGS000,安凯有限公司,安凱有限公司,HKD,AKGS100,安凯有限公司(PRC合并),,,7/3/2012
HYK0100 - 大连花园口华润燃气(香港)有限公司(PRC合并),HYK0100,大连花园口华润燃气(香港)有限公司(PRC合并),大連花園口華潤燃氣(香港)有限公司(PRC合併),HKD,AKGS100,安凯有限公司(PRC合并),,TRUE,7/3/2012
HYKH000 - 大连花园口华润燃气(香港)有限公司,HYKH000,大连花园口华润燃气(香港)有限公司,大連花園口華潤燃氣(香港)有限公司,HKD,HYK0100,大连花园口华润燃气(香港)有限公司(PRC合并),,,7/3/2012
HYK0000 - 大连花园口华润燃气有限公司,HYK0000,大连花园口华润燃气有限公司,大連花園口華潤燃氣有限公司,CNY,HYK0100,大连花园口华润燃气(香港)有限公司(PRC合并),,,7/3/2012
EHB0100 - 万润有限公司(PRC合并),EHB0100,万润有限公司(PRC合并),Earn Max Limited(PRC合併),HKD,WGA0100,旺高有限公司(PRC合并),,TRUE,7/3/2012
EHB0000 - 万润有限公司,EHB0000,万润有限公司,Earn Max Limited,HKD,EHB0100,万润有限公司(PRC合并),,,7/3/2012
ZSGH100 - 中山华润燃气(香港)有限公司(PRC合并),ZSGH100,中山华润燃气(香港)有限公司(PRC合并),Zhongshan China Resources Gas(Hong Kong) Limited(PRC合併),HKD,EHB0100,万润有限公司(PRC合并),,TRUE,7/3/2012
ZSGH000 - 中山华润燃气(香港)有限公司,ZSGH000,中山华润燃气(香港)有限公司,Zhongshan China Resources Gas(Hong Kong) Limited,HKD,ZSGH100,中山华润燃气(香港)有限公司(PRC合并),,,7/3/2012
ZGYB000 - 中山公用燃气有限公司,ZGYB000,中山公用燃气有限公司,中山公用燃氣有限公司,CNY,ZSGH100,中山华润燃气(香港)有限公司(PRC合并),,,7/3/2012
JHGS100 - 俊亨有限公司(PRC合并),JHGS100,俊亨有限公司(PRC合并),俊亨有限公司(PRC合併),HKD,WGA0100,旺高有限公司(PRC合并),,TRUE,7/3/2012
JHGS000 - 俊亨有限公司,JHGS000,俊亨有限公司,俊亨有限公司,HKD,JHGS100,俊亨有限公司(PRC合并),,,7/3/2012
